MoveId,CharacterId,Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
1,1,"in rage 1, 1, b or f+3, 2",m(Throw),55,16 pc1~,,Throw(KND),Throw(KND),Rage art
2,1,1 or f+1,h,7,10,1,8,8,
3,1,"1, 1","h, h","7,7",10,-3,4,4,
4,1,"1, 2","h, m","7,20",10,-17~-16,KND,KND,
5,1,2 or f+2,Sm,15,15~16,-9~-8,0~+1,0~+1,
6,1,3 or b+3,h,14,15,-8,3,3,
7,1,4,h,12,14~15,-13~-12,+2~+3,+2~+3,
8,1,"4, 3","h, h","12,17",14~15,-5~-4,+19k,KND,"Tail spin, Homing"
9,1,1+2 or WS+1+2,h,14,31 pc8~,-20,-8,-8,Power crush
10,1,"1+2, f, f (Cancel)",h,14,315 pc8~,-5,7,7,
11,1,"1+2, b, b (Cancel)",h,14,315 pc8~,-15,-3,-3,
12,1,"1+2, *",h,20,40 pc8~,-11,CS,CS,Power crush
13,1,"1+2*, f, f (Cancel)",h,20,405 pc8~,4,CS(21),CS(21),Power crush
14,1,"1+2*, b, b (Cancel)",h,20,405 pc8~,-6,CS(11),CS(11),Power crush
15,1,"1+2, (Hold long as possible)*",h!,25,65 pc8~54,CS,CS,CS,Power crush
16,1,"1+2 (Hold long as possible)*, f, f (Cancel)",h,25,65 pc8~,CS(21),CS(21),CS(21),Power crush
17,1,"1+2 (Hold long as possible)*, b, b (Cancel)",h,25,65 pc8~,CS(11),CS(11),CS(11),Power crush
18,1,f+3,m,16,17,-9,1,1,
19,1,f+4,h,20,16~17,-9~-8,KND,KND,"Tail spin, Homing"
20,1,f+1+2,mm,"5,15","20,32",-8s,+5s,+5s,
21,1,f+1+2 (Second hit miss),m,5,20,–,–,–,
22,1,f+3+4,m (TJ)(TPORT),20,22~23a js9~,-9~-8,+2~+3,+2~+3,Homing
23,1,d/f+1,m,10,13~14,-4~-3,+7~+8,+7~+8,
24,1,"d/f+1, 1","m, h","10,7",13~14,-3,6,6,
25,1,"d/f+1, 2","m, mm","10,5,15",13~14,-13s,+5s,+5s,
26,1,"d/f+1, 2 (Third hit miss)","m, m","10,5",13~14,–,–,–,
27,1,d/f+2,m,10,16~17,-7~-6,+3~+4,+3~+4,
28,1,"d/f+2, 1","m, m","10,10",16~17,-18~-17,Launch (JG?),Launch (JG?),
29,1,"d/f+2, 4","m, m","10,13",16~17,-11,0,0,
30,1,"d/f+2, 4, 3","m, m, m","10,13,23",16~17,-17~-16,KND,KND,
31,1,d/f+3,m,14,12,-9,1,1,
32,1,d/f+4,m,24,19,-16,KND,KND,
33,1,d/b or d+1 or FC+1,Sm (TC),5,10s cs4or1~,-5,6,6,
34,1,"d/b or d+1, 2 or FC+1, 2","Sm (TC), Sm (TC)","5,8",s js1~,-13,-2,-2,
